Jamu ID;Efficacy
J00001;5
J00002;5
J00003;8
J00004;6
J00005;5
J00006;5
J00007;6
J00008;6
J00009;5
J00010;2
J00011;2
J00012;9
J00013;6
J00014;6
J00015;5
J00016;6
J00017;9
J00018;7
J00019;6
J00020;9
J00021;1
J00022;8
J00023;6
J00024;6
J00025;6
J00026;6
J00027;5
J00028;6
J00029;3
J00030;5
J00031;4
J00032;4
J00033;4
J00034;6
J00035;6
J00036;7
J00037;8
J00038;8
J00039;4
J00040;5
J00041;7
J00042;7
J00043;6
J00044;4
J00045;4
J00046;4
J00047;4
J00048;7
J00049;6
J00050;1
J00051;5
J00052;4
J00053;4
J00054;4
J00055;4
J00056;4
J00057;4
J00058;6
J00059;6
J00060;7
J00061;6
J00062;4
J00063;4
J00064;4
J00065;4
J00066;4
J00067;4
J00068;4
J00069;4
J00070;4
J00071;4
J00072;5
J00073;4
J00074;4
J00075;7
J00076;4
J00077;4
J00078;4
J00079;7
J00080;4
J00081;6
J00082;2
J00083;4
J00084;6
J00085;7
J00086;7
J00087;4
J00088;4
J00089;2
J00090;4
J00091;4
J00092;2
J00093;2
J00094;4
J00095;5
J00096;4
J00097;4
J00098;2
J00099;6
J00100;5
J00101;4
J00102;4
J00103;8
J00104;4
J00105;6
J00106;6
J00107;6
J00108;2
J00109;6
J00110;4
J00111;7
J00112;4
J00113;1
J00114;6
J00115;8
J00116;6
J00117;4
J00118;9
J00119;4
J00120;6
J00121;4
J00122;6
J00123;4
J00124;4
J00125;4
J00126;4
J00127;4
J00128;6
J00129;1
J00130;6
J00131;4
J00132;4
J00133;2
J00134;7
J00135;6
J00136;6
J00137;6
J00138;4
J00139;4
J00140;2
J00141;6
J00142;6
J00143;6
J00144;4
J00145;7
J00146;4
J00147;4
J00148;7
J00149;4
J00150;4
J00151;7
J00152;7
J00153;7
J00154;7
J00155;7
J00156;7
J00157;4
J00158;4
J00159;6
J00160;4
J00161;4
J00162;4
J00163;6
J00164;6
J00165;6
J00166;6
J00167;6
J00168;6
J00169;6
J00170;7
J00171;6
J00172;7
J00173;4
J00174;6
J00175;4
J00176;2
J00177;4
J00178;4
J00179;4
J00180;4
J00181;5
J00182;2
J00183;5
J00184;6
J00185;6
J00186;6
J00187;4
J00188;4
J00189;4
J00190;4
J00191;4
J00192;6
J00193;7
J00194;4
J00195;6
J00196;4
J00197;5
J00198;2
J00199;5
J00200;6
J00201;6
J00202;2
J00203;8
J00204;4
J00205;4
J00206;6
J00207;2
J00208;4
J00209;7
J00210;6
J00211;5
J00212;6
J00213;4
J00214;6
J00215;4
J00216;4
J00217;7
J00218;4
J00219;4
J00220;4
J00221;4
J00222;4
J00223;7
J00224;4
J00225;4
J00226;4
J00227;4
J00228;4
J00229;4
J00230;7
J00231;4
J00232;4
J00233;4
J00234;7
J00235;7
J00236;4
J00237;7
J00238;5
J00239;6
J00240;4
J00241;6
J00242;7
J00243;6
J00244;4
J00245;8
J00246;7
J00247;6
J00248;8
J00249;8
J00250;1
J00251;7
J00252;4
J00253;6
J00254;7
J00255;6
J00256;4
J00257;6
J00258;1
J00259;1
J00260;4
J00261;7
J00262;6
J00263;2
J00264;9
J00265;8
J00266;4
J00267;6
J00268;6
J00269;4
J00270;7
J00271;6
J00272;4
J00273;4
J00274;2
J00275;6
J00276;6
J00277;4
J00278;6
J00279;6
J00280;7
J00281;6
J00282;4
J00283;4
J00284;5
J00285;7
J00286;4
J00287;7
J00288;4
J00289;5
J00290;6
J00291;6
J00292;6
J00293;6
J00294;6
J00295;4
J00296;2
J00297;7
J00298;4
J00299;6
J00300;7
J00301;4
J00302;2
J00303;2
J00304;4
J00305;4
J00306;4
J00307;4
J00308;4
J00309;6
J00310;5
J00311;6
J00312;6
J00313;4
J00314;6
J00315;4
J00316;5
J00317;6
J00318;6
J00319;4
J00320;4
J00321;6
J00322;6
J00323;2
J00324;4
J00325;4
J00326;2
J00327;6
J00328;5
J00329;6
J00330;4
J00331;4
J00332;4
J00333;6
J00334;4
J00335;4
J00336;2
J00337;4
J00338;5
J00339;5
J00340;6
J00341;2
J00342;6
J00343;6
J00344;4
J00345;8
J00346;7
J00347;7
J00348;6
J00349;4
J00350;6
J00351;6
J00352;8
J00353;5
J00354;6
J00355;7
J00356;6
J00357;6
J00358;6
J00359;5
J00360;6
J00361;5
J00362;6
J00363;5
J00364;5
J00365;6
J00366;5
J00367;6
J00368;2
J00369;7
J00370;5
J00371;6
J00372;4
J00373;6
J00374;6
J00375;7
J00376;4
J00377;5
J00378;4
J00379;6
J00380;6
J00381;7
J00382;5
J00383;6
J00384;6
J00385;7
J00386;4
J00387;4
J00388;9
J00389;9
J00390;6
J00391;2
J00392;6
J00393;7
J00394;8
J00395;4
J00396;7
J00397;6
J00398;8
J00399;2
J00400;6
J00401;4
J00402;5
J00403;2
J00404;5
J00405;6
J00406;6
J00407;5
J00408;5
J00409;6
J00410;6
J00411;5
J00412;6
J00413;4
J00414;4
J00415;6
J00416;5
J00417;6
J00418;2
J00419;6
J00420;6
J00421;6
J00422;5
J00423;4
J00424;2
J00425;5
J00426;2
J00427;7
J00428;2
J00429;6
J00430;6
J00431;4
J00432;6
J00433;2
J00434;8
J00435;4
J00436;9
J00437;9
J00438;3
J00439;5
J00440;5
J00441;5
J00442;4
J00443;8
J00444;9
J00445;2
J00446;4
J00447;4
J00448;7
J00449;7
J00450;5
J00451;5
J00452;4
J00453;9
J00454;9
J00455;2
J00456;2
J00457;9
J00458;5
J00459;6
J00460;5
J00461;6
J00462;2
J00463;9
J00464;6
J00465;6
J00466;5
J00467;6
J00468;5
J00469;2
J00470;9
J00471;5
J00472;2
J00473;1
J00474;4
J00475;4
J00476;5
J00477;4
J00478;2
J00479;2
J00480;2
J00481;6
J00482;6
J00483;5
J00484;6
J00485;8
J00486;3
J00487;5
J00488;6
J00489;2
J00490;9
J00491;6
J00492;4
J00493;6
J00494;6
J00495;6
J00496;6
J00497;5
J00498;5
J00499;2
J00500;2
J00501;4
J00502;6
J00503;7
J00504;4
J00505;7
J00506;6
J00507;5
J00508;5
J00509;8
J00510;8
J00511;8
J00512;9
J00513;9
J00514;4
J00515;6
J00516;5
J00517;5
J00518;6
J00519;5
J00520;2
J00521;2
J00522;5
J00523;2
J00524;9
J00525;6
J00526;6
J00527;6
J00528;5
J00529;5
J00530;4
J00531;4
J00532;9
J00533;6
J00534;7
J00535;8
J00536;1
J00537;5
J00538;6
J00539;6
J00540;9
J00541;4
J00542;2
J00543;5
J00544;4
J00545;4
J00546;5
J00547;2
J00548;6
J00549;6
J00550;5
J00551;6
J00552;4
J00553;6
J00554;2
J00555;2
J00556;6
J00557;6
J00558;2
J00559;4
J00560;7
J00561;4
J00562;1
J00563;6
J00564;6
J00565;7
J00566;4
J00567;7
J00568;2
J00569;2
J00570;7
J00571;6
J00572;2
J00573;7
J00574;7
J00575;6
J00576;1
J00577;6
J00578;4
J00579;4
J00580;4
J00581;6
J00582;2
J00583;6
J00584;4
J00585;6
J00586;6
J00587;6
J00588;2
J00589;6
J00590;6
J00591;6
J00592;8
J00593;6
J00594;2
J00595;4
J00596;8
J00597;6
J00598;6
J00599;6
J00600;4
J00601;6
J00602;6
J00603;4
J00604;6
J00605;4
J00606;6
J00607;6
J00608;6
J00609;6
J00610;4
J00611;6
J00612;6
J00613;8
J00614;8
J00615;6
J00616;6
J00617;4
J00618;6
J00619;6
J00620;6
J00621;6
J00622;4
J00623;6
J00624;6
J00625;4
J00626;8
J00627;6
J00628;9
J00629;9
J00630;4
J00631;4
J00632;6
J00633;8
J00634;6
J00635;4
J00636;6
J00637;6
J00638;9
J00639;4
J00640;8
J00641;6
J00642;4
J00643;6
J00644;4
J00645;4
J00646;8
J00647;6
J00648;6
J00649;6
J00650;6
J00651;6
J00652;4
J00653;4
J00654;6
J00655;6
J00656;6
J00657;6
J00658;6
J00659;6
J00660;4
J00661;4
J00662;6
J00663;6
J00664;5
J00665;5
J00666;6
J00667;4
J00668;6
J00669;6
J00670;6
J00671;6
J00672;6
J00673;4
J00674;6
J00675;8
J00676;6
J00677;6
J00678;4
J00679;6
J00680;6
J00681;2
J00682;6
J00683;6
J00684;6
J00685;6
J00686;6
J00687;6
J00688;4
J00689;6
J00690;6
J00691;8
J00692;6
J00693;6
J00694;4
J00695;6
J00696;4
J00697;6
J00698;6
J00699;4
J00700;6
J00701;6
J00702;6
J00703;2
J00704;6
J00705;6
J00706;6
J00707;2
J00708;6
J00709;6
J00710;8
J00711;6
J00712;4
J00713;4
J00714;6
J00715;6
J00716;6
J00717;6
J00718;6
J00719;6
J00720;6
J00721;6
J00722;5
J00723;5
J00724;6
J00725;6
J00726;6
J00727;6
J00728;6
J00729;7
J00730;5
J00731;6
J00732;4
J00733;7
J00734;4
J00735;4
J00736;7
J00737;4
J00738;6
J00739;6
J00740;6
J00741;2
J00742;1
J00743;4
J00744;5
J00745;6
J00746;4
J00747;7
J00748;2
J00749;7
J00750;7
J00751;5
J00752;7
J00753;4
J00754;7
J00755;4
J00756;2
J00757;6
J00758;4
J00759;6
J00760;5
J00761;6
J00762;6
J00763;6
J00764;6
J00765;6
J00766;6
J00767;6
J00768;6
J00769;2
J00770;4
J00771;6
J00772;6
J00773;6
J00774;6
J00775;6
J00776;6
J00777;4
J00778;7
J00779;6
J00780;6
J00781;6
J00782;4
J00783;6
J00784;6
J00785;4
J00786;6
J00787;6
J00788;6
J00789;6
J00790;6
J00791;8
J00792;2
J00793;6
J00794;6
J00795;6
J00796;7
J00797;7
J00798;4
J00799;4
J00800;5
J00801;6
J00802;6
J00803;7
J00804;9
J00805;4
J00806;6
J00807;6
J00808;2
J00809;4
J00810;5
J00811;1
J00812;4
J00813;7
J00814;5
J00815;7
J00816;2
J00817;8
J00818;7
J00819;6
J00820;4
J00821;4
J00822;5
J00823;6
J00824;6
J00825;5
J00826;2
J00827;6
J00828;6
J00829;6
J00830;2
J00831;7
J00832;6
J00833;7
J00834;8
J00835;7
J00836;4
J00837;2
J00838;5
J00839;6
J00840;2
J00841;5
J00842;6
J00843;2
J00844;5
J00845;7
J00846;4
J00847;7
J00848;5
J00849;6
J00850;8
J00851;5
J00852;2
J00853;2
J00854;5
J00855;5
J00856;7
J00857;5
J00858;5
J00859;5
J00860;5
J00861;6
J00862;6
J00863;6
J00864;7
J00865;8
J00866;5
J00867;4
J00868;5
J00869;4
J00870;8
J00871;6
J00872;4
J00873;6
J00874;6
J00875;6
J00876;5
J00877;5
J00878;2
J00879;2
J00880;4
J00881;8
J00882;6
J00883;6
J00884;6
J00885;2
J00886;6
J00887;4
J00888;6
J00889;7
J00890;7
J00891;4
J00892;4
J00893;6
J00894;4
J00895;7
J00896;4
J00897;4
J00898;4
J00899;4
J00900;9
J00901;7
J00902;6
J00903;6
J00904;4
J00905;4
J00906;7
J00907;8
J00908;8
J00909;6
J00910;6
J00911;6
J00912;5
J00913;2
J00914;5
J00915;6
J00916;5
J00917;9
J00918;6
J00919;4
J00920;5
J00921;5
J00922;7
J00923;6
J00924;5
J00925;2
J00926;6
J00927;6
J00928;7
J00929;6
J00930;4
J00931;6
J00932;5
J00933;5
J00934;7
J00935;4
J00936;5
J00937;2
J00938;4
J00939;5
J00940;6
J00941;7
J00942;6
J00943;2
J00944;6
J00945;2
J00946;4
J00947;7
J00948;5
J00949;5
J00950;4
J00951;6
J00952;5
J00953;6
J00954;7
J00955;8
J00956;7
J00957;7
J00958;7
J00959;7
J00960;6
J00961;5
J00962;2
J00963;6
J00964;4
J00965;6
J00966;4
J00967;4
J00968;6
J00969;6
J00970;5
J00971;6
J00972;5
J00973;5
J00974;5
J00975;5
J00976;5
J00977;5
J00978;7
J00979;5
J00980;4
J00981;5
J00982;4
J00983;4
J00984;4
J00985;4
J00986;4
J00987;4
J00988;5
J00989;7
J00990;8
J00991;4
J00992;7
J00993;9
J00994;6
J00995;7
J00996;6
J00997;6
J00998;6
J00999;7
J01000;5
J01001;4
J01002;6
J01003;4
J01004;5
J01005;6
J01006;6
J01007;6
J01008;8
J01009;6
J01010;4
J01011;6
J01012;2
J01013;6
J01014;6
J01015;4
J01016;5
J01017;6
J01018;6
J01019;8
J01020;4
J01021;8
J01022;6
J01023;4
J01024;4
J01025;5
J01026;6
J01027;2
J01028;6
J01029;5
J01030;2
J01031;4
J01032;5
J01033;4
J01034;7
J01035;7
J01036;6
J01037;2
J01038;1
J01039;6
J01040;6
J01041;4
J01042;6
J01043;5
J01044;7
J01045;7
J01046;2
J01047;9
J01048;6
J01049;4
J01050;5
J01051;1
J01052;5
J01053;4
J01054;3
J01055;4
J01056;6
J01057;6
J01058;7
J01059;9
J01060;4
J01061;4
J01062;6
J01063;4
J01064;4
J01065;6
J01066;6
J01067;6
J01068;6
J01069;6
J01070;2
J01071;8
J01072;5
J01073;5
J01074;6
J01075;7
J01076;5
J01077;5
J01078;5
J01079;2
J01080;6
J01081;5
J01082;6
J01083;8
J01084;5
J01085;7
J01086;1
J01087;2
J01088;6
J01089;6
J01090;4
J01091;4
J01092;4
J01093;7
J01094;8
J01095;4
J01096;5
J01097;6
J01098;2
J01099;5
J01100;2
J01101;5
J01102;5
J01103;5
J01104;4
J01105;5
J01106;4
J01107;6
J01108;4
J01109;6
J01110;6
J01111;3
J01112;3
J01113;4
J01114;6
J01115;4
J01116;7
J01117;1
J01118;6
J01119;6
J01120;4
J01121;4
J01122;4
J01123;5
J01124;5
J01125;5
J01126;7
J01127;2
J01128;7
J01129;6
J01130;2
J01131;5
J01132;6
J01133;2
J01134;5
J01135;6
J01136;6
J01137;6
J01138;8
J01139;9
J01140;2
J01141;9
J01142;5
J01143;6
J01144;4
J01145;5
J01146;5
J01147;2
J01148;6
J01149;6
J01150;6
J01151;6
J01152;5
J01153;4
J01154;7
J01155;4
J01156;7
J01157;2
J01158;2
J01159;4
J01160;8
J01161;5
J01162;5
J01163;6
J01164;3
J01165;4
J01166;6
J01167;7
J01168;4
J01169;4
J01170;8
J01171;8
J01172;4
J01173;6
J01174;6
J01175;5
J01176;2
J01177;6
J01178;5
J01179;5
J01180;5
J01181;6
J01182;5
J01183;5
J01184;5
J01185;7
J01186;6
J01187;8
J01188;5
J01189;6
J01190;6
J01191;2
J01192;6
J01193;5
J01194;4
J01195;4
J01196;4
J01197;6
J01198;6
J01199;6
J01200;6
J01201;7
J01202;8
J01203;6
J01204;2
J01205;7
J01206;4
J01207;6
J01208;8
J01209;6
J01210;5
J01211;5
J01212;5
J01213;5
J01214;6
J01215;5
J01216;7
J01217;4
J01218;4
J01219;4
J01220;6
J01221;6
J01222;4
J01223;6
J01224;7
J01225;6
J01226;6
J01227;7
J01228;4
J01229;7
J01230;5
J01231;4
J01232;8
J01233;2
J01234;4
J01235;7
J01236;4
J01237;7
J01238;8
J01239;4
J01240;6
J01241;8
J01242;2
J01243;9
J01244;1
J01245;4
J01246;4
J01247;2
J01248;5
J01249;6
J01250;2
J01251;6
J01252;5
J01253;7
J01254;6
J01255;4
J01256;7
J01257;4
J01258;1
J01259;4
J01260;4
J01261;4
J01262;4
J01263;6
J01264;6
J01265;1
J01266;8
J01267;6
J01268;2
J01269;6
J01270;4
J01271;4
J01272;4
J01273;2
J01274;2
J01275;5
J01276;4
J01277;6
J01278;4
J01279;8
J01280;6
J01281;7
J01282;6
J01283;6
J01284;2
J01285;6
J01286;8
J01287;7
J01288;4
J01289;4
J01290;4
J01291;6
J01292;4
J01293;4
J01294;5
J01295;6
J01296;5
J01297;4
J01298;7
J01299;2
J01300;7
J01301;5
J01302;4
J01303;6
J01304;2
J01305;8
J01306;5
J01307;5
J01308;2
J01309;5
J01310;6
J01311;4
J01312;6
J01313;7
J01314;4
J01315;5
J01316;4
J01317;6
J01318;4
J01319;6
J01320;2
J01321;6
J01322;6
J01323;4
J01324;6
J01325;5
J01326;2
J01327;4
J01328;2
J01329;6
J01330;6
J01331;6
J01332;4
J01333;6
J01334;6
J01335;6
J01336;4
J01337;4
J01338;4
J01339;6
J01340;6
J01341;2
J01342;9
J01343;6
J01344;7
J01345;2
J01346;5
J01347;9
J01348;7
J01349;5
J01350;2
J01351;6
J01352;6
J01353;4
J01354;4
J01355;4
J01356;4
J01357;4
J01358;6
J01359;7
J01360;4
J01361;4
J01362;2
J01363;4
J01364;5
J01365;5
J01366;6
J01367;7
J01368;4
J01369;8
J01370;5
J01371;6
J01372;6
J01373;5
J01374;7
J01375;2
J01376;7
J01377;4
J01378;2
J01379;2
J01380;5
J01381;5
J01382;6
J01383;4
J01384;4
J01385;5
J01386;6
J01387;6
J01388;9
J01389;6
J01390;6
J01391;4
J01392;6
J01393;7
J01394;4
J01395;4
J01396;6
J01397;7
J01398;6
J01399;6
J01400;6
J01401;6
J01402;6
J01403;6
J01404;6
J01405;9
J01406;6
J01407;6
J01408;6
J01409;6
J01410;6
J01411;6
J01412;6
J01413;6
J01414;5
J01415;7
J01416;6
J01417;5
J01418;6
J01419;2
J01420;5
J01421;5
J01422;5
J01423;5
J01424;6
J01425;5
J01426;5
J01427;5
J01428;4
J01429;5
J01430;7
J01431;4
J01432;4
J01433;5
J01434;4
J01435;7
J01436;6
J01437;6
J01438;6
J01439;5
J01440;6
J01441;5
J01442;5
J01443;5
J01444;3
J01445;6
J01446;6
J01447;6
J01448;8
J01449;6
J01450;7
J01451;7
J01452;8
J01453;4
J01454;6
J01455;7
J01456;5
J01457;4
J01458;4
J01459;6
J01460;4
J01461;4
J01462;8
J01463;6
J01464;2
J01465;7
J01466;4
J01467;4
J01468;4
J01469;1
J01470;5
J01471;6
J01472;4
J01473;6
J01474;4
J01475;4
J01476;4
J01477;4
J01478;4
J01479;7
J01480;4
J01481;4
J01482;2
J01483;1
J01484;7
J01485;1
J01486;7
J01487;4
J01488;2
J01489;4
J01490;6
J01491;4
J01492;4
J01493;2
J01494;1
J01495;6
J01496;8
J01497;7
J01498;4
J01499;6
J01500;4
J01501;4
J01502;4
J01503;5
J01504;4
J01505;4
J01506;4
J01507;4
J01508;4
J01509;1
J01510;6
J01511;6
J01512;6
J01513;6
J01514;2
J01515;6
J01516;7
J01517;5
J01518;8
J01519;1
J01520;2
J01521;2
J01522;2
J01523;2
J01524;2
J01525;2
J01526;6
J01527;4
J01528;4
J01529;4
J01530;4
J01531;4
J01532;1
J01533;1
J01534;4
J01535;4
J01536;4
J01537;4
J01538;5
J01539;4
J01540;8
J01541;4
J01542;4
J01543;2
J01544;6
J01545;5
J01546;6
J01547;6
J01548;4
J01549;4
J01550;4
J01551;4
J01552;7
J01553;6
J01554;6
J01555;5
J01556;4
J01557;4
J01558;6
J01559;7
J01560;2
J01561;4
J01562;6
J01563;4
J01564;4
J01565;4
J01566;4
J01567;4
J01568;4
J01569;4
J01570;4
J01571;4
J01572;4
J01573;6
J01574;8
J01575;2
J01576;4
J01577;4
J01578;2
J01579;7
J01580;4
J01581;7
J01582;7
J01583;4
J01584;6
J01585;7
J01586;6
J01587;6
J01588;6
J01589;6
J01590;1
J01591;1
J01592;1
J01593;7
J01594;4
J01595;4
J01596;4
J01597;4
J01598;6
J01599;6
J01600;4
J01601;4
J01602;7
J01603;4
J01604;4
J01605;4
J01606;4
J01607;6
J01608;2
J01609;4
J01610;4
J01611;4
J01612;4
J01613;4
J01614;4
J01615;4
J01616;4
J01617;4
J01618;4
J01619;4
J01620;5
J01621;5
J01622;9
J01623;6
J01624;2
J01625;4
J01626;4
J01627;8
J01628;6
J01629;6
J01630;6
J01631;1
J01632;4
J01633;4
J01634;6
J01635;7
J01636;7
J01637;7
J01638;7
J01639;7
J01640;7
J01641;7
J01642;6
J01643;2
J01644;4
J01645;6
J01646;4
J01647;5
J01648;4
J01649;4
J01650;2
J01651;2
J01652;2
J01653;2
J01654;2
J01655;7
J01656;7
J01657;8
J01658;7
J01659;6
J01660;2
J01661;5
J01662;2
J01663;4
J01664;4
J01665;6
J01666;6
J01667;6
J01668;6
J01669;6
J01670;6
J01671;6
J01672;7
J01673;7
J01674;4
J01675;4
J01676;4
J01677;4
J01678;5
J01679;4
J01680;4
J01681;4
J01682;4
J01683;4
J01684;4
J01685;4
J01686;4
J01687;2
J01688;4
J01689;4
J01690;4
J01691;6
J01692;8
J01693;5
J01694;4
J01695;1
J01696;6
J01697;4
J01698;4
J01699;4
J01700;4
J01701;7
J01702;7
J01703;4
J01704;4
J01705;4
J01706;4
J01707;7
J01708;4
J01709;4
J01710;4
J01711;8
J01712;6
J01713;6
J01714;6
J01715;6
J01716;2
J01717;5
J01718;2
J01719;4
J01720;4
J01721;4
J01722;4
J01723;4
J01724;4
J01725;7
J01726;7
J01727;1
J01728;5
J01729;2
J01730;4
J01731;4
J01732;4
J01733;5
J01734;5
J01735;2
J01736;5
J01737;5
J01738;6
J01739;7
J01740;4
J01741;5
J01742;5
J01743;6
J01744;6
J01745;5
J01746;6
J01747;7
J01748;4
J01749;6
J01750;5
J01751;2
J01752;2
J01753;5
J01754;4
J01755;6
J01756;4
J01757;5
J01758;4
J01759;4
J01760;6
J01761;6
J01762;6
J01763;6
J01764;7
J01765;7
J01766;7
J01767;7
J01768;4
J01769;4
J01770;4
J01771;4
J01772;4
J01773;4
J01774;4
J01775;4
J01776;4
J01777;9
J01778;5
J01779;4
J01780;6
J01781;7
J01782;4
J01783;4
J01784;5
J01785;6
J01786;6
J01787;6
J01788;4
J01789;4
J01790;4
J01791;4
J01792;4
J01793;4
J01794;4
J01795;4
J01796;4
J01797;4
J01798;4
J01799;6
J01800;6
J01801;5
J01802;4
J01803;6
J01804;6
J01805;2
J01806;2
J01807;6
J01808;9
J01809;4
J01810;6
J01811;6
J01812;4
J01813;5
J01814;6
J01815;4
J01816;4
J01817;8
J01818;8
J01819;4
J01820;7
J01821;1
J01822;4
J01823;5
J01824;7
J01825;7
J01826;4
J01827;4
J01828;5
J01829;6
J01830;4
J01831;4
J01832;4
J01833;7
J01834;6
J01835;4
J01836;4
J01837;4
J01838;4
J01839;4
J01840;1
J01841;7
J01842;1
J01843;6
J01844;6
J01845;4
J01846;8
J01847;9
J01848;6
J01849;6
J01850;9
J01851;6
J01852;6
J01853;6
J01854;1
J01855;4
J01856;5
J01857;6
J01858;4
J01859;4
J01860;2
J01861;7
J01862;4
J01863;4
J01864;6
J01865;2
J01866;6
J01867;4
J01868;4
J01869;6
J01870;6
J01871;5
J01872;5
J01873;6
J01874;6
J01875;4
J01876;4
J01877;6
J01878;6
J01879;4
J01880;4
J01881;6
J01882;4
J01883;7
J01884;7
J01885;7
J01886;8
J01887;6
J01888;8
J01889;6
J01890;5
J01891;5
J01892;5
J01893;4
J01894;4
J01895;6
J01896;6
J01897;6
J01898;6
J01899;6
J01900;6
J01901;2
J01902;7
J01903;4
J01904;6
J01905;8
J01906;4
J01907;5
J01908;4
J01909;4
J01910;6
J01911;4
J01912;4
J01913;4
J01914;6
J01915;3
J01916;3
J01917;6
J01918;4
J01919;6
J01920;4
J01921;4
J01922;1
J01923;6
J01924;7
J01925;4
J01926;7
J01927;5
J01928;4
J01929;7
J01930;7
J01931;4
J01932;9
J01933;9
J01934;4
J01935;5
J01936;4
J01937;4
J01938;9
J01939;9
J01940;5
J01941;5
J01942;4
J01943;5
J01944;9
J01945;9
J01946;9
J01947;5
J01948;5
J01949;2
J01950;5
J01951;6
J01952;5
J01953;6
J01954;2
J01955;4
J01956;6
J01957;4
J01958;6
J01959;4
J01960;5
J01961;5
J01962;5
J01963;2
J01964;7
J01965;7
J01966;4
J01967;9
J01968;2
J01969;1
J01970;9
J01971;1
J01972;1
J01973;4
J01974;4
J01975;1
J01976;1
J01977;5
J01978;4
J01979;4
J01980;4
J01981;4
J01982;4
J01983;4
J01984;6
J01985;6
J01986;4
J01987;4
J01988;4
J01989;6
J01990;5
J01991;3
J01992;6
J01993;6
J01994;6
J01995;2
J01996;3
J01997;6
J01998;9
J01999;4
J02000;4
J02001;6
J02002;4
J02003;6
J02004;6
J02005;7
J02006;1
J02007;5
J02008;4
J02009;6
J02010;6
J02011;4
J02012;6
J02013;6
J02014;5
J02015;2
J02016;7
J02017;6
J02018;6
J02019;6
J02020;7
J02021;5
J02022;4
J02023;3
J02024;5
J02025;7
J02026;4
J02027;4
J02028;4
J02029;4
J02030;5
J02031;4
J02032;4
J02033;4
J02034;4
J02035;4
J02036;4
J02037;4
J02038;4
J02039;4
J02040;7
J02041;4
J02042;4
J02043;4
J02044;5
J02045;4
J02046;4
J02047;4
J02048;4
J02049;1
J02050;7
J02051;7
J02052;4
J02053;4
J02054;4
J02055;6
J02056;2
J02057;9
J02058;7
J02059;5
J02060;6
J02061;5
J02062;5
J02063;4
J02064;4
J02065;4
J02066;1
J02067;9
J02068;5
J02069;4
J02070;4
J02071;7
J02072;4
J02073;4
J02074;4
J02075;4
J02076;4
J02077;3
J02078;4
J02079;4
J02080;4
J02081;2
J02082;5
J02083;5
J02084;5
J02085;5
J02086;4
J02087;4
J02088;5
J02089;2
J02090;4
J02091;7
J02092;4
J02093;6
J02094;4
J02095;4
J02096;5
J02097;7
J02098;6
J02099;6
J02100;6
J02101;4
J02102;4
J02103;8
J02104;4
J02105;4
J02106;4
J02107;4
J02108;4
J02109;4
J02110;4
J02111;4
J02112;4
J02113;6
J02114;2
J02115;4
J02116;6
J02117;6
J02118;6
J02119;4
J02120;6
J02121;2
J02122;7
J02123;4
J02124;4
J02125;4
J02126;4
J02127;7
J02128;7
J02129;7
J02130;1
J02131;4
J02132;4
J02133;4
J02134;4
J02135;4
J02136;4
J02137;4
J02138;4
J02139;4
J02140;1
J02141;4
J02142;1
J02143;4
J02144;6
J02145;5
J02146;7
J02147;4
J02148;7
J02149;7
J02150;2
J02151;4
J02152;4
J02153;4
J02154;7
J02155;6
J02156;4
J02157;4
J02158;4
J02159;4
J02160;2
J02161;4
J02162;4
J02163;4
J02164;2
J02165;6
J02166;8
J02167;6
J02168;5
J02169;6
J02170;4
J02171;6
J02172;8
J02173;6
J02174;5
J02175;2
J02176;2
J02177;5
J02178;5
J02179;6
J02180;7
J02181;2
J02182;2
J02183;5
J02184;6
J02185;6
J02186;8
J02187;6
J02188;8
J02189;6
J02190;4
J02191;6
J02192;6
J02193;6
J02194;6
J02195;6
J02196;5
J02197;6
J02198;6
J02199;4
J02200;4
J02201;7
J02202;4
J02203;4
J02204;4
J02205;5
J02206;6
J02207;6
J02208;6
J02209;6
J02210;5
J02211;4
J02212;4
J02213;4
J02214;4
J02215;4
J02216;6
J02217;7
J02218;8
J02219;7
J02220;2
J02221;4
J02222;7
J02223;4
J02224;2
J02225;4
J02226;4
J02227;7
J02228;4
J02229;4
J02230;4
J02231;4
J02232;1
J02233;5
J02234;7
J02235;1
J02236;5
J02237;4
J02238;2
J02239;6
J02240;7
J02241;8
J02242;4
J02243;4
J02244;6
J02245;4
J02246;6
J02247;4
J02248;4
J02249;4
J02250;6
J02251;7
J02252;4
J02253;4
J02254;4
J02255;4
J02256;5
J02257;2
J02258;4
J02259;4
J02260;4
J02261;4
J02262;4
J02263;4
J02264;6
J02265;6
J02266;4
J02267;5
J02268;7
J02269;4
J02270;4
J02271;4
J02272;4
J02273;4
J02274;1
J02275;4
J02276;4
J02277;4
J02278;2
J02279;4
J02280;6
J02281;7
J02282;4
J02283;7
J02284;4
J02285;4
J02286;4
J02287;7
J02288;4
